Cake,Almond essence,Baking powder,Butter,Bananas,Cocoa,Cottage Cheese,Chocolate,Crushed Ice,Crumbs,Cream of tartar,Dried currants,Eggs,Egg white,Egg yolk,Sifted flour,Gelatin,Heavy cream,Lemon juice,Lemon rind,Milk,Nutmeg,Nuts,Rum,Soda,Sour cream cup,Shortening,Granulated sugar,Strawberries,Salt,Vanilla extract,Water,Yeast,Zwiebach
Angel,0.25,0,0,0,0,0,0,0,0,1.25,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.25,1,0,0,0
Babas au Rhum,0,0,0.25,0,0,0,0,0,0,0,3,1,2,0,1.75,0,0,0,0.5,0.25,0,0,2,0,0,0,0.25,0,0,0,0.25,0.6,0
Sweet Chocolate,0,0,1,0,0,0,4,0,0,0,0,4,0,0,2.5,0,0,0,0,1,0,0,0,1,0,0,2,0,0.5,1,0.5,0,0
Buche de Noel,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0.5,1,0,0,0
Cheesecake,0,0,0.25,0,0,1.5,0,0,0,0,0,6,0,0,0.25,0,0,1,1,0,0,0,0,0,1,0,1,0,0.25,0,0,0,6
Rum Cheesecake,0,0,0,0,0,1.5,0,0,0,0,0,2,0,0,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0.25,0,0,0,0
Blender Cheesecake,0,0,0,0,0,0.5,0,1,0.3,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0
One Bowl Chocolate,0,2,0,0,10,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0.7,0,0,0,0.5,0,10,1.5,0,0.25,1,0.5,0,0
Red Devil's Food,0,0,0,0,0.3,0,0,0,0,0,0,2,0,0,1.75,0,0,0,0,1,0,0,0,1.25,0,0.5,1.5,0,1,1,0,0,0
Sour Cream Fudge,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0.3,1.5,0,1,1,0.25,0,0
Hungarian Cream,1.5,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1.5,0,1,2,0,0,0
Crumb and Nut,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0
Spiced Pound,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1.5,0,0,0,0,0,1.7,0,0.5,0,0,0,0
Strawberry Roll,0,0.75,0,0,0,0.5,0,0,0,0,0,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,1,1,1,0,0,0
Savarin,0,0,0.7,0,0,0,0,0,0,0,0,3,0,0,1.5,0,0,0,1,0.25,0,0,0,0,0,0,0.6,0,0.5,0,0.25,1,0
Banana Shortcake,0,4,0.6,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0.13,0,0.5,0,0,0,0
Strawberry Shortcake,0,3,0.12,0,0,0.2,0,0,0,0,0,1,0,0,2,0,0,0,0,0.5,0,0,0,0,1,0,0.6,1,0.75,0,0,0,0
Sponge,0.5,1,0,0,0,0,0,0,0,0,0,4,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,2,0,0
