code,ingredient,measure
AE,almond_essence,teaspoon
BP,baking_powder,teaspoon
BR,butter,cup
BS,bananas,one
CA,cocoa,tablespoon
CC,cottage_cheese,pound
CE,chocolate,ounce
CI,crushed_ice,cup
CS,crumbs,cup
CT,cream_of_tartar,teaspoon
DC,dried_currants,tablespoon
EG,eggs,one
EW,egg_white,one
EY,egg_yolk,one
FR,sifted_flour,cup
GN,gelatin,tablespoon
HC,heavy_cream,cup
LJ,lemon_juice,tablespoon
LR,lemon_rind,teaspoon
MK,milk,cup
NG,nutmeg,teaspoon
NS,nuts,cup
RM,rum,ounce
SA,soda,teaspoon
SC,sour_cream_cup,NA
SG,shortening,tablespoon
SR,granulated_sugar,cup
SS,strawberries,quart
ST,salt,teaspoon
VE,vanilla_extract,teaspoon
WR,water,cup
YT,yeast,ounce
ZH,zwiebach,ounce
